art_grp_se,archv_artst_nm,nm,vrit_mark_cn,realm_cl,act_relm_cn,birth_year,rsrch_man_nm,url
FARTST,미술작가,김영구(김영),,회화,,,,
FARTST,미술작가,박동우,Park Dong Woo,무대미술,,,,
FARTST,미술작가,유지원,柳智元,회화,,,,
ARTST,예술인,강경구,Kang kyung koo,시각예술,미술작가,1952,,https://www.daarts.or.kr/handle/11080/19200
ARTST,예술인,강관욱,Kang kwan wook,시각예술,미술작가,1945,,https://www.daarts.or.kr/handle/11080/19201
ARTST,예술인,강광,Kang kwang,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19202
ARTST,예술인,강남미,Kang nam mi,미술작가,미술작가,1951,,https://www.daarts.or.kr/handle/11080/19203
ARTST,예술인,강동규,Kang Dongkyu,창작음악,창작음악,1976,,https://www.daarts.or.kr/handle/11080/52369
ARTST,예술인,강미영,kang mi young,시각예술,미술작가,1962,,https://www.daarts.or.kr/handle/11080/19204
ARTST,예술인,강민,"姜敏, 본명 성철(聲哲)",문학,"시, 출판편집",1933,,https://www.daarts.or.kr/handle/11080/120095
ARTST,예술인,강봉규,Kang bong kyu,미술작가,사진,1935,,https://www.daarts.or.kr/handle/11080/19205
ARTST,예술인,강석영,Kang suk young,미술작가,미술작가,1949,,https://www.daarts.or.kr/handle/11080/19206
ARTST,예술인,강석희,姜碩熙,창작음악,창작음악,1934,,https://www.daarts.or.kr/handle/11080/64392
ARTST,예술인,강선영,姜善泳,공연예술,한국무용,1925,,https://www.daarts.or.kr/handle/11080/6323
ARTST,예술인,강성원,Kang seong won,미술작가,미술작가,1956,,https://www.daarts.or.kr/handle/11080/19207
ARTST,예술인,강순미,Kahng Soonmee,창작음악,창작음악,1948,,https://www.daarts.or.kr/handle/11080/49620
ARTST,예술인,강애란,Kang ai ran,미술작가,미술작가,1960,,https://www.daarts.or.kr/handle/11080/19208
ARTST,예술인,강연균,Kang yeon gyun,미술작가,미술작가,1940,,https://www.daarts.or.kr/handle/11080/19209
ARTST,예술인,강영걸,康英傑,공연예술,연극연출,1943,,https://www.daarts.or.kr/handle/11080/88374
ARTST,예술인,강용면,Kang yong myeon,시각예술,미술작가,1957,,https://www.daarts.or.kr/handle/11080/19210
ARTST,예술인,강운,Kang un,시각예술,미술작가,1966,,https://www.daarts.or.kr/handle/11080/19212
ARTST,예술인,강은경,Kang Eunkoung,창작음악,창작음악,1968,,https://www.daarts.or.kr/handle/11080/52331
ARTST,예술인,강익중,Kang ik joong,미술작가,미술작가,1960,,https://www.daarts.or.kr/handle/11080/19213
ARTST,예술인,강정완,Kang jeong wan,미술작가,미술작가,1933,,https://www.daarts.or.kr/handle/11080/19214
ARTST,예술인,강진모,Kang jin mo,미술작가,미술작가,1956,,https://www.daarts.or.kr/handle/11080/19215
